source_file,line_number,ref_path
1.0/1.5.RGB/1.5.4.RGB_Green_Blink.md,8,Placeholder_for_RGB_Green_Pulse.gif
1.0/1.5.RGB/1.5.4.RGB_Green_Blink.md,29,../../assets/1.0/RGB/GREEN_G_B/circuit_3.webp
1.0/1.5.RGB/1.5.5.RGB_Blue_On.md,8,Placeholder_for_RGB_Blue.gif
1.0/1.5.RGB/1.5.5.RGB_Blue_On.md,29,../../assets/1.0/RGB/BLUE_G_B/circuit_2.webp
1.0/1.5.RGB/1.5.6.RGB_Blue_Blink.md,8,Placeholder_for_RGB_Blue_Blink.gif
1.0/1.5.RGB/1.5.6.RGB_Blue_Blink.md,29,../../assets/1.0/RGB/BLUE_G_B/circuit_3.webp
1.0/1.5.RGB/1.5.7.RGB_Rainbow_Colors.md,8,Placeholder_for_Rainbow.gif
1.0/1.6.LDR/1.6.0.LDR_Module.md,8,Placeholder_for_LDR_Graph.gif
1.0/1.7.Servo_Motor/1.7.0.Servo_Motor_One_Angle.md,8,Placeholder_for_Servo_Wave.gif
1.0/1.7.Servo_Motor/1.7.1.Servo_Motor_Sweep.md,8,Placeholder_for_Servo_Sweep.gif
1.0/1.8.Ultrasonic_Sensor/1.8.1ultrasonic_RGB.md,8,Placeholder_for_Reverse_Sensor.gif
1.0/1.9.Sound_Sensor/1.9.0.Sound_Sensor.md,8,Placeholder_for_Clap_Sensor.gif
2.0/2.1.Ultrasonic+LED/2.1.1.Mission_Bats_Warning.md,8,Placeholder_for_Ultrasonic.gif
2.0/2.10.LDR+Buzzer/2.10.1.LDR+Buzzer.md,8,Placeholder_for_Sunrise_Alarm.gif
2.0/2.11.LDR_RGB/2.11.1.LDR_RGB.md,8,Placeholder_for_Ambient_Monitor.gif
2.0/2.12.Traffic_Light_STEMAIDE/2.12.1.Traffic_Light_STEMAIDE.md,8,Placeholder_for_Smart_Night_Mode.gif
2.0/2.13.SoundSensor+LED/2.13.1.SoundSensor+1_LED.md,8,Placeholder_for_Clap_Switch.gif
2.0/2.14.SoundSensor+Traffic/2.14.1.SoundSensor+TrafficLight_module.md,8,Placeholder_for_Voice_Commander.gif
2.0/2.2.Ultrasonic+Buzzer/2.2.2.Ultrasonic_sensor_and_buzzer.md,8,Placeholder_for_Intruder_Alarm.gif
2.0/2.3.Ultrasonic+TrafficLight/2.3.1.ultrasonic_sensor_and_trafficLight_module.md,8,Placeholder_for_Smart_Traffic.gif
2.0/2.4.Ultrasonic+RGB/2.4.1.ultrasonic_sensor_and_RGB_module.md,8,Placeholder_for_Visual_Rangefinder.gif
2.0/2.5.Push_Button+LED/2.5.1.Push_Button_to_turn_on_and_off_LED.md,8,Placeholder_for_Button_LED.gif
2.0/2.6.Push_Button+Buzzer/2.6.1.Push_button_and_Buzzer.md,8,Placeholder_for_Doorbell.gif
2.0/2.7.PushButton+TrafficLightModule/2.7.1.PushButton+TrafficLightModule.md,8,Placeholder_for_Crosswalk.gif
2.0/2.8.PushButton+RGB/2.8.1.PushButton+RGB.md,8,Placeholder_for_Mood_Controller.gif
2.0/2.9.LDR+LED/2.9.1.LDR+1_LED.md,8,Placeholder_for_Streetlight.gif
3.0/3.1.Smart_Gauge/3.1.1.Mission_City_Dashboard.md,8,Placeholder_for_Smart_Gauge.gif
3.0/3.2.Smart_Security_System/3.2.1.Smart_Security_System.md,8,Placeholder_for_Silent_Alarm.gif
3.0/3.3.Smart_Traffic_light_system/3.3.1.Smart_Traffic_Light_System.md,8,Placeholder_for_Adaptive_Traffic.gif
3.0/3.4.Smart_Bed_Light/3.4.1.Smart_Bed_Light.md,8,Placeholder_for_Adaptive_Light.gif
3.0/3.5.Smart_Car_Parking_System/3.5.1.Smart_Car_Parking_System.md,8,Placeholder_for_Garage.gif
3.0/3.6.Smart_Clap_Device/3.6.1.Smart_Clap_device.md,8,Placeholder_for_Voice_Control.gif
3.0/3.7.Smart_Irrigation/3.7.1.Smart_Irrigation.md,8,Placeholder_for_Smart_Farm.gif
3.0/3.7.Smart_Irrigation/3.7.1.Smart_Irrigation.md,63,../../assets/3.0/Smart_Irrigation/wiring_overview.webp
